CORE,C/MHz,CPI,%ACERTO,CYCLES,INSTRET,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT,BPH
core8,1.084,1.240,68.002,276687194,222960672,27.911,1.938,1.589,62229769,4320532,3542144,5,14
core8,1.089,1.235,68.933,275528037,222960643,27.911,1.938,1.589,62229769,4320532,3542144,6,14
core8,1.095,1.228,70.244,273897604,222960698,27.911,1.938,1.589,62229769,4320532,3542144,7,14
core8,1.102,1.220,71.677,272114007,222960656,27.911,1.938,1.589,62229782,4320535,3542147,8,14
core8,1.110,1.211,73.235,270174674,222960755,27.911,1.938,1.589,62229790,4320535,3542147,9,14
core8,1.114,1.207,74.030,269185535,222960668,27.911,1.938,1.589,62229782,4320535,3542147,10,14
core8,1.124,1.196,75.940,266807962,222960655,27.911,1.938,1.589,62229782,4320535,3542147,11,14
core8,1.137,1.183,78.376,263776230,222960721,27.911,1.938,1.589,62229782,4320535,3542147,12,14
core8,1.155,1.165,81.596,259767768,222960663,27.911,1.938,1.589,62229766,4320535,3542147,13,14
core8,1.166,1.153,83.689,257163135,222960690,27.911,1.938,1.589,62229766,4320535,3542147,14,14
core8,1.166,1.153,83.689,257163135,222960690,27.911,1.938,1.589,62229766,4320535,3542147,15,14
core8,1.166,1.153,83.689,257163135,222960690,27.911,1.938,1.589,62229766,4320535,3542147,16,14
