CPU,CPI,BENCH,CYCLES,INSTRET
torvs5C1,0.924,0.965,828279770,896390372
torvs5C2,0.916,0.974,821194650,896390376
torvs5C3,0.905,0.985,812008369,896390374
torvs5C4,0.889,1.021,783528206,881141948

torvs7C1,0.844,1.137,703053373,832821805
torvs7C2,0.835,1.149,695968247,832821811
torvs7C3,0.824,1.164,686813214,832821817
torvs7C4,0.802,1.204,664140919,827512787

torvs9C1,0.798,1.262,633632561,793583135
torvs9C2,0.789,1.276,626547421,793583119
torvs9C3,0.777,1.295,617368703,793583576
torvs9C4,0.743,1.368,584448706,786398356
