IMP,C/MHz,CPI,%ACERTO,CYCLES,INSTRET,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT
core6,1.128,1.192,76.602,265984245,222960688,27.911,1.938,1.589,62229782,4320535,3542147,16
core6,1.128,1.192,76.602,265984245,222960688,27.911,1.938,1.589,62229782,4320535,3542147,15
core6,1.128,1.192,76.602,265984245,222960688,27.911,1.938,1.589,62229782,4320535,3542147,14
core6,1.128,1.192,76.602,265984245,222960688,27.911,1.938,1.589,62229782,4320535,3542147,13
core6,1.128,1.192,76.602,265984245,222960688,27.911,1.938,1.589,62229782,4320535,3542147,12
core6,1.128,1.192,76.602,265984261,222960688,27.911,1.938,1.589,62229782,4320535,3542147,11
core6,1.128,1.192,76.597,265990492,222960691,27.911,1.938,1.589,62229782,4320535,3542147,10
core6,1.128,1.193,76.589,265999854,222960685,27.911,1.938,1.589,62229782,4320535,3542147,9
core6,1.127,1.193,76.468,266151155,222960740,27.911,1.938,1.589,62229782,4320535,3542147,8
core6,1.126,1.195,76.227,266450187,222960620,27.911,1.938,1.589,62229782,4320535,3542147,7
core6,1.125,1.195,76.157,266538264,222960681,27.911,1.938,1.589,62229782,4320535,3542147,6
core6,1.122,1.198,75.599,267232672,222960753,27.911,1.938,1.589,62229782,4320535,3542147,5
