CORE,CPI,RAYS,%HITS,CYCLES,INSTRET,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT
core6,1.147,7.023,77.014,113918508,99242675,25.655,2.070,1.459,25460901,2054084,1447564,12
core6,1.148,7.022,76.984,113933348,99242665,25.655,2.070,1.459,25460901,2054084,1447564,11
core6,1.148,7.018,76.855,113999135,99242644,25.655,2.070,1.459,25460893,2054084,1447564,10
core6,1.149,7.010,76.615,114121617,99242628,25.655,2.070,1.459,25460885,2054084,1447564,9
core6,1.151,7.000,76.305,114279440,99242590,25.655,2.070,1.459,25460872,2054082,1447561,8
core6,1.154,6.981,75.697,114588971,99242841,25.655,2.070,1.459,25460988,2054087,1447567,7
core6,1.161,6.943,74.441,115228478,99242864,25.655,2.070,1.459,25460994,2054087,1447567,6
core6,1.163,6.926,73.908,115499885,99242855,25.655,2.070,1.459,25460994,2054087,1447567,5
core6,1.168,6.897,72.947,115989470,99242846,25.655,2.070,1.459,25460994,2054087,1447567,4
