CORE,CPI,INSTRET,CYCLES,MIPS,%ACERTO,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT,BPH
core8,1.150,16388391,18849918,1.513,76.554,19.591,1.846,1.540,3212374,302643,252476,5,14
core8,1.083,16388360,17749475,1.607,93.684,19.591,1.846,1.540,3212351,302640,252473,6,14
core8,1.076,16388353,17649194,1.616,95.245,19.591,1.846,1.540,3212346,302640,252473,7,14
core8,1.070,16388387,17549030,1.625,96.807,19.591,1.846,1.540,3212347,302640,252473,8,14
core8,1.070,16388375,17548584,1.625,96.817,19.591,1.846,1.540,3212347,302640,252473,9,14
core8,1.070,16388375,17548520,1.625,96.819,19.591,1.846,1.540,3212347,302640,252473,10,14
core8,1.070,16388379,17548346,1.625,96.823,19.591,1.846,1.540,3212347,302640,252473,11,14
core8,1.064,16388350,17448335,1.635,98.381,19.591,1.846,1.540,3212346,302640,252473,12,14
core8,1.064,16388354,17448281,1.635,98.382,19.591,1.846,1.540,3212346,302640,252473,13,14
core8,1.064,16388350,17448269,1.635,98.382,19.591,1.846,1.540,3212346,302640,252473,14,14
core8,1.064,16388350,17448269,1.635,98.382,19.591,1.846,1.540,3212346,302640,252473,15,14
core8,1.064,16388350,17448269,1.635,98.382,19.591,1.846,1.540,3212346,302640,252473,16,14
